,open,high,low,close,volume,value
2025-04-29 16:09:00,136608000.0,136608000.0,136600000.0,136600000.0,0.43752717,59767950.55106
2025-04-29 16:10:00,136596000.0,136600000.0,136546000.0,136564000.0,0.71938117,98245915.61404
2025-04-29 16:11:00,136564000.0,136564000.0,136546000.0,136547000.0,0.32806874,44801161.18893
2025-04-29 16:12:00,136564000.0,136564000.0,136546000.0,136546000.0,0.16054258,21922404.93112
2025-04-29 16:13:00,136561000.0,136561000.0,136527000.0,136527000.0,0.36481134,49811941.35096
2025-04-29 16:14:00,136536000.0,136536000.0,136527000.0,136529000.0,0.41299037,56384895.51449
2025-04-29 16:15:00,136529000.0,136700000.0,136528000.0,136573000.0,2.4839244,339242299.26021
2025-04-29 16:16:00,136700000.0,136750000.0,136573000.0,136747000.0,1.22225642,167106874.61775
2025-04-29 16:17:00,136750000.0,136770000.0,136695000.0,136769000.0,1.1468191,156839061.67015
2025-04-29 16:18:00,136769000.0,136770000.0,136747000.0,136747000.0,0.21014453,28740948.39856
2025-04-29 16:19:00,136747000.0,136760000.0,136739000.0,136747000.0,1.90375639,260339171.85794
2025-04-29 16:20:00,136747000.0,136759000.0,136747000.0,136754000.0,0.10040193,13730626.21954
2025-04-29 16:21:00,136759000.0,136760000.0,136740000.0,136740000.0,0.95010609,129928520.91041
2025-04-29 16:22:00,136754000.0,136760000.0,136740000.0,136760000.0,0.7120468,97369770.94203
2025-04-29 16:23:00,136760000.0,136760000.0,136740000.0,136760000.0,0.15856275,21684276.15935
2025-04-29 16:24:00,136760000.0,136760000.0,136741000.0,136745000.0,0.10966983,14998203.33249
2025-04-29 16:25:00,136744000.0,136800000.0,136744000.0,136791000.0,0.34303172,46913851.98546
2025-04-29 16:26:00,136800000.0,136854000.0,136791000.0,136854000.0,1.12845132,154410659.3697
2025-04-29 16:27:00,136854000.0,136894000.0,136850000.0,136893000.0,2.24769749,307644838.41565
2025-04-29 16:28:00,136893000.0,136903000.0,136852000.0,136882000.0,1.4383508,196902494.2089
2025-04-29 16:29:00,136882000.0,136938000.0,136853000.0,136875000.0,0.57506626,78732513.04238
2025-04-29 16:30:00,136875000.0,136937000.0,136875000.0,136878000.0,1.87347085,256518005.35163
2025-04-29 16:31:00,136921000.0,136921000.0,136878000.0,136879000.0,0.44690982,61179478.96716
2025-04-29 16:32:00,136921000.0,136921000.0,136877000.0,136920000.0,1.13345275,155177832.12766
2025-04-29 16:33:00,136920000.0,136935000.0,136850000.0,136850000.0,2.21312523,302910238.54818
2025-04-29 16:34:00,136850000.0,136850000.0,136814000.0,136850000.0,0.32126371,43963427.45037
2025-04-29 16:35:00,136849000.0,136850000.0,136818000.0,136819000.0,0.39997699,54732039.31655
2025-04-29 16:36:00,136844000.0,136844000.0,136818000.0,136820000.0,0.19852753,27162359.80086
